

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
230.206  000.133  000.133: require('chatgpt.common.classes')
230.326  000.117  000.117: require('chatgpt.common.input_widget')
230.332  000.455  000.206: require('chatgpt.flows.chat.session')
230.451  000.118  000.118: require('chatgpt.flows.chat.tokens')
230.457  001.415  000.330: require('chatgpt.chat')
230.618  000.159  000.159: require('chatgpt.api')
232.333  000.324  000.324: require('telescope.debounce')
232.736  000.399  000.399: require('telescope.mappings')
233.057  000.318  000.318: require('telescope.pickers.highlights')
233.315  000.255  000.255: require('telescope.pickers.window')
233.967  000.333  000.333: require('telescope.algos.linked_list')
233.972  000.655  000.321: require('telescope.entry_manager')
234.249  000.275  000.275: require('telescope.pickers.multi')
234.271  003.427  001.201: require('telescope.pickers')
234.278  003.658  000.230: require('chatgpt.prompts')
234.857  000.257  000.257: require('chatgpt.settings')
234.867  000.588  000.331: require('chatgpt.code_edits')
235.082  000.213  000.213: require('chatgpt.flows.chat.sessions')
235.817  000.133  000.133: require('chatgpt.signs')
235.827  000.347  000.214: require('chatgpt.flows.actions.base')
235.831  000.554  000.208: require('chatgpt.flows.actions.completions')
236.035  000.167  000.167: require('chatgpt.flows.actions.edits')
236.040  000.955  000.234: require('chatgpt.flows.actions')
236.261  000.219  000.219: require('chatgpt.flows.code_completions')
236.265  013.297  000.359: require('chatgpt.module')
236.268  016.986  003.689: require('chatgpt')
237.489  000.295  000.295: require('lspsaga')
237.732  000.223  000.223: require('lspsaga.highlight')
238.277  000.281  000.281: require('lspsaga.lspkind')
239.757  000.318  000.318: require('lspsaga.lightbulb')
240.706  000.420  000.420: require('lspsaga.libs')
240.716  000.913  000.493: require('lspsaga.symbolwinbar')
242.688  000.504  000.504: require('lspsaga.window')
242.702  001.066  000.562: require('lspsaga.codeaction')
242.718  001.992  000.925: require('lspsaga.diagnostic')
242.767  024.507  003.500: sourcing /Users/andrew/.config/nvim/plugin/packer_compiled.lua
243.867  000.162  000.162: sourcing /usr/local/Cellar/neovim/0.8.3/share/nvim/runtime/plugin/man.lua
243.926  008.820: loading rtp plugins
246.731  000.101  000.101: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/ChatGPT.nvim/plugin/chatgpt.lua
248.544  000.147  000.147: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/codi.vim/plugin/codi.vim
250.075  000.081  000.081: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/committia.vim/plugin/committia.vim
251.963  000.149  000.149: require('dressing.patch')
251.967  000.321  000.172: require('dressing')
251.980  000.378  000.057: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/dressing.nvim/plugin/dressing.lua
253.097  000.092  000.092: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
254.038  000.088  000.088: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/git-messenger.vim/plugin/gitmessenger.vim
256.225  000.385  000.385: require('indent_blankline/utils')
256.229  001.068  000.683: require('indent_blankline')
256.608  000.196  000.196: require('indent_blankline.commands')
256.709  001.634  000.370: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/indent-blankline.nvim/plugin/indent_blankline.vim
258.644  000.486  000.486: sourcing /Users/andrew/.local/share/nvim/site/pack/packer/start/leap.nvim/plugin/init.lua
